"rid", "binaryID"
20546,1000000000000000010100100000100
21144,1000000000000000010100100000101
18865,10000000000000000100000000000000
22056,10000000000000000100000000000001
22089,10000000000000000100000000000010
19859,10000000000000000100000000000100
21891,10000000000000000100000000111000
19918,10000000000000000101000000000000
22131,10000000000000000101000000000001
22124,10000000000000000101000000000010
22117,10000000000000000101000000010000
22138,10000000000000000101000000101000
19935,10000000000000000101000010000000
22629,10000000000000000101000010000001
21168,10000000000000000101000010000010
20315,10000000000000000101000010000100
21163,10000000000000000101000010000101
20335,10000000000000000101001000000000
21207,10000000000000000101001000000001
20547,10000000000000000101001000001000
21148,10000000000000000101001000001001
18866,100000000000000001000000000000000
19841,100000000000000001000000000000001
21597,100000000000000001000000000000010
19860,100000000000000001000000000001000
21965,100000000000000001000000000001001
19919,100000000000000001010000000000000
22137,100000000000000001010000001010000
19936,100000000000000001010000100000000
22628,100000000000000001010000100000001
21170,100000000000000001010000100000010
20316,100000000000000001010000100001000
21157,100000000000000001010000100001001
18774,100000000000000001010010000000000
20336,100000000000000001010010000000001
20548,100000000000000001010010000010000
21139,100000000000000001010010000010001
18867,1000000000000000010000000000000000
21604,1000000000000000010000000000000001
19842,1000000000000000010000000000000010
19861,1000000000000000010000000000010000
22087,1000000000000000010000000000010001
22057,1000000000000000010000000000010010
22088,1000000000000000010000000000010011
19920,1000000000000000010100000000000000
19937,1000000000000000010100001000000000
22627,1000000000000000010100001000000001
22102,1000000000000000010100001000000010
20317,1000000000000000010100001000010000
21150,1000000000000000010100001000010001
21155,1000000000000000010100001000010010
20337,1000000000000000010100100000000010
20514,1000000000000000010100100000000011
20549,1000000000000000010100100000100000
21126,1000000000000000010100100000100001
18868,10000000000000000100000000000000000
21605,10000000000000000100000000000000001
19843,10000000000000000100000000000000100
21603,10000000000000000100000000000000101
19862,10000000000000000100000000000100000
21594,10000000000000000100000000000100100
19921,10000000000000000101000000000000000
22133,10000000000000000101000000000000001
22625,10000000000000000101000010000000000
22626,10000000000000000101000010000000001
22099,10000000000000000101000010000000010
20318,10000000000000000101000010000100000
21143,10000000000000000101000010000100001
21146,10000000000000000101000010000100010
20338,10000000000000000101001000000000100
21121,10000000000000000101001000000000101
20515,10000000000000000101001000000000110
21120,10000000000000000101001000000000111
20550,10000000000000000101001000001000000
21123,10000000000000000101001000001000001
18869,100000000000000001000000000000000000
21600,100000000000000001000000000000000010
19844,100000000000000001000000000000001000
21563,100000000000000001000000000000001001
19863,100000000000000001000000000001000000
19864,100000000000000001000000000001000001
21595,100000000000000001000000000001001000
19922,100000000000000001010000000000000000
22127,100000000000000001010000000000000001
22132,100000000000000001010000000000000010
19938,100000000000000001010000100000000000
20296,100000000000000001010000100000000010
20319,100000000000000001010000100001000000
20320,100000000000000001010000100001000001
25172,100000000000000001010010000000001000
20516,100000000000000001010010000000001100
21115,100000000000000001010010000000001101
21114,100000000000000001010010000000001110
20551,100000000000000001010010000010000000
21132,100000000000000001010010000010000001
18870,1000000000000000010000000000000000000
18871,1000000000000000010000000000000000001
21565,1000000000000000010000000000000000100
19845,1000000000000000010000000000000010000
21569,1000000000000000010000000000000010010
19865,1000000000000000010000000000010000000
20610,1000000000000000010000000000010000010
21596,1000000000000000010000000000010010000
19923,1000000000000000010100000000000000000
22128,1000000000000000010100000000000000010
19939,1000000000000000010100001000000000000
22738,1000000000000000010100001000000000001
20297,1000000000000000010100001000000000100
21135,1000000000000000010100001000010000000
20321,1000000000000000010100001000010000010
21136,1000000000000000010100001000010000011
20339,1000000000000000010100100000000010000
20517,1000000000000000010100100000000011000
21093,1000000000000000010100100000000011001
20552,1000000000000000010100100000100000000
21104,1000000000000000010100100000100000001
21601,10000000000000000100000000000000000000
18872,10000000000000000100000000000000000010
19846,10000000000000000100000000000000100000
21573,10000000000000000100000000000000100001
19866,10000000000000000100000000000100000000
20611,10000000000000000100000000000100000100
21903,10000000000000000100000000000100000101
21598,10000000000000000100000000000100100000
25143,10000000000000000101000000000000000000
19940,10000000000000000101000010000000000000
22624,10000000000000000101000010000000000001
22103,10000000000000000101000010000000000010
20298,10000000000000000101000010000000001000
21167,10000000000000000101000010000000001001
