"Country","Homicidios (por 100,000 habitantes , 2015)","Acceso a electricidad (%, 2017)","Inversion en Salud (% del PIB, 2019)","Medicos por 1000 habitantes (2014-2019)","Enfermeras por 1000 habitantes (2014-2019)","Poblacion con menos de 3.20$ por dia (%, 2011 PPP)","Esperanza de vida (ages, 2019)","Tasa Mortalidad Infantil (por 1000 nacimientos vivos, 2020)","Alimentacion Insuficiente (%, 2019)","Inversion Estatal en Educacion (% del PIB, 2020)","Terreno Cultivable (%, 2014-16)","Emisiones CO2 (metric tons per capita)","Sistema_Sanitario","Inversion_Edcucacion_Sanidad","Pobreza","Contaminacion","Inseguridad"
"Georgia",2.7,100,6.7,7.1,5.2,15.5,74,8,8.7,3.8,34,2.5,"Adecuado","Baja","Alta","Baja","Baja"
"Germany",0.8,100,11.7,4.3,13.5,0.2,81,3,2.5,5,48,8.6,"Adecuado","Alta","Baja","Media","Baja"
"Ghana",1.9,79,3.4,0.1,2.7,30.1,64,33,6.1,4,69,0.5,"Inadecuado","Baja","Alta","Baja","Baja"
"Greece",0.9,100,7.8,6.2,3.7,1.6,82,4,2.5,3.6,48,6.1,"Adecuado","Baja","Baja","Media","Baja"
"Guatemala",29.4,93.3,6.2,0.4,1.3,24.4,74,20,16.8,3.3,36,1.1,"Inadecuado","Baja","Alta","Baja","Alta"
"Guyana",19.4,90.3,4.9,1.8,0.8,25.2,70,24,5.2,4.5,9,3.1,"Inadecuado","Baja","Alta","Baja","Alta"
"Haiti",10,43.3,4.7,0.2,0.4,50.3,64,47,46.8,1.7,67,0.3,"Inadecuado","Baja","Alta","Baja","Baja"
"Honduras",56.5,86.5,7.3,0.3,0.7,30.6,75,14,13.5,4.9,29,1,"Inadecuado","Alta","Alta","Baja","Alta"
"Hungary",2.3,100,6.4,3.4,5.3,1.2,76,3,2.5,4.6,58,4.7,"Adecuado","Baja","Baja","Baja","Baja"
"Iceland",0.9,100,8.6,4.1,17.2,0,83,2,2.5,7.6,19,6.2,"Adecuado","Alta","Baja","Media","Baja"
"Indonesia",0.6,98.1,2.9,0.5,3.8,21.5,72,20,6.5,2.8,31,2.2,"Inadecuado","Baja","Alta","Baja","Baja"
"Iran, Islamic Rep.",2.5,99.9,6.7,1.6,2.1,2.7,77,11,5.5,3.7,28,7.7,"Inadecuado","Baja","Media","Media","Baja"
"Ireland",0.7,100,6.7,3.4,13,0.4,82,3,2.5,3.4,65,7.6,"Adecuado","Baja","Baja","Media","Baja"
"Israel",1.4,100,7.5,5.5,6.6,0.7,83,3,2.5,6.2,25,7,"Adecuado","Alta","Baja","Media","Baja"
"Italy",0.8,100,8.7,8,5.9,1.8,83,3,2.5,4.3,43,5.4,"Adecuado","Baja","Baja","Media","Baja"
"Jamaica",41.8,97.6,6.1,0.5,1.5,8.9,74,11,7.7,5.4,41,2.9,"Inadecuado","Baja","Media","Baja","Alta"
"Jordan",1.6,100,7.6,2.3,3.3,2,75,13,9.5,3,12,2.5,"Inadecuado","Baja","Alta","Baja","Baja"
"Kazakhstan",4.9,100,2.8,4,7.3,0.3,73,9,2.5,2.9,80,12.1,"Adecuado","Baja","Baja","Alta","Baja"
"Kenya",4.7,56.1,4.6,0.2,1.2,66.5,67,31,24.8,5.1,49,0.4,"Inadecuado","Baja","Alta","Baja","Baja"
"Korea, Rep.",0.7,100,8.2,2.4,7.5,0.5,83,3,2.5,4.5,17,12.2,"Inadecuado","Baja","Baja","Alta","Baja"
"Kyrgyz Republic",5.1,100,4.5,2.2,5.6,10.9,72,16,7.2,5.4,55,1.7,"Inadecuado","Baja","Media","Baja","Media"
"Latvia",3.4,100,6.6,3.3,4.6,1.5,75,3,2.5,4.2,31,4,"Adecuado","Baja","Baja","Baja","Baja"
"Lebanon",3.5,100,8.6,2.1,1.7,0.1,79,6,9.3,2.6,64,4,"Inadecuado","Baja","Alta","Baja","Baja"
"Liberia",3.3,24.2,8.5,0,0.5,75.6,64,58,38.9,2.3,28,0.3,"Inadecuado","Baja","Alta","Baja","Baja"
