rep,cens_target,cens_achieved,lambda_exp_train,loss,test_cens_achieved,metric,value
8,0.3,0.3,0.07294279508785681,coxtime,0.3,ibs,0.217008
8,0.5,0.5,0.3452201835337375,cox,0.3,cindex,0.769858
8,0.5,0.5,0.3452201835337375,cox,0.3,ibs,0.182793
8,0.5,0.5,0.3452201835337375,cox_l2,0.3,cindex,0.761073
8,0.5,0.5,0.3452201835337375,cox_l2,0.3,ibs,0.161772
8,0.5,0.5,0.3452201835337375,aft,0.3,cindex,0.727164
8,0.5,0.5,0.3452201835337375,aft,0.3,ibs,0.184982
8,0.5,0.5,0.3452201835337375,coxtime,0.3,cindex,0.716046
8,0.5,0.5,0.3452201835337375,coxtime,0.3,ibs,0.195337
8,0.7,0.7,1.6836814319211244,cox,0.3,cindex,0.676139
8,0.7,0.7,1.6836814319211244,cox,0.3,ibs,0.202004
8,0.7,0.7,1.6836814319211244,cox_l2,0.3,cindex,0.758545
8,0.7,0.7,1.6836814319211244,cox_l2,0.3,ibs,0.173943
8,0.7,0.7,1.6836814319211244,aft,0.3,cindex,0.741967
8,0.7,0.7,1.6836814319211244,aft,0.3,ibs,0.207159
8,0.7,0.7,1.6836814319211244,coxtime,0.3,cindex,0.729912
8,0.7,0.7,1.6836814319211244,coxtime,0.3,ibs,0.200684
8,0.9,0.9,23.234085274335264,cox,0.3,cindex,0.75628
8,0.9,0.9,23.234085274335264,cox,0.3,ibs,0.317891
8,0.9,0.9,23.234085274335264,cox_l2,0.3,cindex,0.731421
8,0.9,0.9,23.234085274335264,cox_l2,0.3,ibs,0.174345
8,0.9,0.9,23.234085274335264,aft,0.3,cindex,0.703303
8,0.9,0.9,23.234085274335264,aft,0.3,ibs,0.197511
8,0.9,0.9,23.234085274335264,coxtime,0.3,cindex,0.717812
8,0.9,0.9,23.234085274335264,coxtime,0.3,ibs,0.268777
9,0.1,0.218,0,cox,0.3,cindex,0.738648
9,0.1,0.218,0,cox,0.3,ibs,0.177133
9,0.1,0.218,0,cox_l2,0.3,cindex,0.745292
9,0.1,0.218,0,cox_l2,0.3,ibs,0.187561
9,0.1,0.218,0,aft,0.3,cindex,0.760921
9,0.1,0.218,0,aft,0.3,ibs,0.160001
9,0.1,0.218,0,coxtime,0.3,cindex,0.556975
9,0.1,0.218,0,coxtime,0.3,ibs,0.226272
9,0.3,0.3,0.050288710183848236,cox,0.3,cindex,0.802766
9,0.3,0.3,0.050288710183848236,cox,0.3,ibs,0.2065
9,0.3,0.3,0.050288710183848236,cox_l2,0.3,cindex,0.768185
9,0.3,0.3,0.050288710183848236,cox_l2,0.3,ibs,0.172857
9,0.3,0.3,0.050288710183848236,aft,0.3,cindex,0.733823
9,0.3,0.3,0.050288710183848236,aft,0.3,ibs,0.188453
9,0.3,0.3,0.050288710183848236,coxtime,0.3,cindex,0.666605
9,0.3,0.3,0.050288710183848236,coxtime,0.3,ibs,0.213687
9,0.5,0.5,0.27669368011913426,cox,0.3,cindex,0.774177
9,0.5,0.5,0.27669368011913426,cox,0.3,ibs,0.176368
9,0.5,0.5,0.27669368011913426,cox_l2,0.3,cindex,0.749799
9,0.5,0.5,0.27669368011913426,cox_l2,0.3,ibs,0.168811
9,0.5,0.5,0.27669368011913426,aft,0.3,cindex,0.738811
9,0.5,0.5,0.27669368011913426,aft,0.3,ibs,0.172937
9,0.5,0.5,0.27669368011913426,coxtime,0.3,cindex,0.750531
9,0.5,0.5,0.27669368011913426,coxtime,0.3,ibs,0.195412
9,0.7,0.7,1.2613449362814937,cox,0.3,cindex,0.764568
9,0.7,0.7,1.2613449362814937,cox,0.3,ibs,0.168156
9,0.7,0.7,1.2613449362814937,cox_l2,0.3,cindex,0.780125
9,0.7,0.7,1.2613449362814937,cox_l2,0.3,ibs,0.201328
9,0.7,0.7,1.2613449362814937,aft,0.3,cindex,0.711114
9,0.7,0.7,1.2613449362814937,aft,0.3,ibs,0.2383
9,0.7,0.7,1.2613449362814937,coxtime,0.3,cindex,0.761883
9,0.7,0.7,1.2613449362814937,coxtime,0.3,ibs,0.191128
9,0.9,0.9,28.446399462104573,cox,0.3,cindex,0.744151
9,0.9,0.9,28.446399462104573,cox,0.3,ibs,0.253295
9,0.9,0.9,28.446399462104573,cox_l2,0.3,cindex,0.728349
9,0.9,0.9,28.446399462104573,cox_l2,0.3,ibs,0.246469
9,0.9,0.9,28.446399462104573,aft,0.3,cindex,0.740945
9,0.9,0.9,28.446399462104573,aft,0.3,ibs,0.192699
9,0.9,0.9,28.446399462104573,coxtime,0.3,cindex,0.731123
9,0.9,0.9,28.446399462104573,coxtime,0.3,ibs,0.27558
10,0.1,0.2205,0,cox,0.3,cindex,0.732789
10,0.1,0.2205,0,cox,0.3,ibs,0.19332
10,0.1,0.2205,0,cox_l2,0.3,cindex,0.786315
10,0.1,0.2205,0,cox_l2,0.3,ibs,0.158496
10,0.1,0.2205,0,aft,0.3,cindex,0.755927
10,0.1,0.2205,0,aft,0.3,ibs,0.19072
10,0.1,0.2205,0,coxtime,0.3,cindex,0.571147
10,0.1,0.2205,0,coxtime,0.3,ibs,0.226634
10,0.3,0.3,0.05047725435601051,cox,0.3,cindex,0.777062
10,0.3,0.3,0.05047725435601051,cox,0.3,ibs,0.183159
10,0.3,0.3,0.05047725435601051,cox_l2,0.3,cindex,0.758999
10,0.3,0.3,0.05047725435601051,cox_l2,0.3,ibs,0.181468
10,0.3,0.3,0.05047725435601051,aft,0.3,cindex,0.750364
10,0.3,0.3,0.05047725435601051,aft,0.3,ibs,0.19112
10,0.3,0.3,0.05047725435601051,coxtime,0.3,cindex,0.687386
10,0.3,0.3,0.05047725435601051,coxtime,0.3,ibs,0.213958
10,0.5,0.5,0.32564304428549395,cox,0.3,cindex,0.746544
10,0.5,0.5,0.32564304428549395,cox,0.3,ibs,0.173026
10,0.5,0.5,0.32564304428549395,cox_l2,0.3,cindex,0.7554
10,0.5,0.5,0.32564304428549395,cox_l2,0.3,ibs,0.166856
10,0.5,0.5,0.32564304428549395,aft,0.3,cindex,0.700456
10,0.5,0.5,0.32564304428549395,aft,0.3,ibs,0.209104
10,0.5,0.5,0.32564304428549395,coxtime,0.3,cindex,0.768865
10,0.5,0.5,0.32564304428549395,coxtime,0.3,ibs,0.184693
10,0.7,0.7,1.5531680338755447,cox,0.3,cindex,0.771455
10,0.7,0.7,1.5531680338755447,cox,0.3,ibs,0.199968
10,0.7,0.7,1.5531680338755447,cox_l2,0.3,cindex,0.745336
10,0.7,0.7,1.5531680338755447,cox_l2,0.3,ibs,0.231125
10,0.7,0.7,1.5531680338755447,aft,0.3,cindex,0.707045
10,0.7,0.7,1.5531680338755447,aft,0.3,ibs,0.204962
