profile,dataset_id,n_points,window_side,cores,parallel,rep,estimate_sec,train_mark_sec,total_sec,objective,model_engine,seed_estimate,seed_train,error
full,win400,413,100,1,FALSE,1,18.070999999999913,60.631000000000085,78.702,1324.1256134726584,xgboost,44101,44102,NA
full,win400,413,100,1,FALSE,2,18.28300000000013,59.17899999999986,77.46199999999999,1323.542335422042,xgboost,44102,44103,NA
full,win400,413,100,1,FALSE,3,16.35199999999986,60.60500000000002,76.95699999999988,1321.8142132935297,xgboost,44103,44104,NA
full,win400,413,100,1,FALSE,4,20.608999999999924,60.447999999999865,81.05699999999979,1326.4820717870477,xgboost,44104,44105,NA
full,win400,413,100,1,FALSE,5,20.760999999999967,60.66799999999989,81.42899999999986,1335.021261356535,xgboost,44105,44106,NA
full,win400,413,100,1,FALSE,6,21.998000000000047,59.465000000000146,81.46300000000019,1335.03561009843,xgboost,44106,44107,NA
full,win400,413,100,1,FALSE,7,21.48799999999983,60.09100000000012,81.57899999999995,1334.78191967892,xgboost,44107,44108,NA
full,win400,413,100,1,FALSE,8,21.57899999999995,60.30400000000009,81.88300000000004,1334.752365050073,xgboost,44108,44109,NA
full,win400,413,100,1,FALSE,9,19.225000000000136,60.56700000000001,79.79200000000014,1328.9070704139647,xgboost,44109,44110,NA
full,win400,413,100,1,FALSE,10,21.157000000000153,60.0029999999997,81.15999999999985,1334.7064163673574,xgboost,44110,44111,NA
full,win400,413,100,7,TRUE,1,6.617999999999938,59.67900000000009,66.29700000000003,1330.0731233011084,xgboost,44701,44702,NA
full,win400,413,100,7,TRUE,2,8.483000000000175,59.789999999999964,68.27300000000014,1333.7270329636644,xgboost,44702,44703,NA
full,win400,413,100,7,TRUE,3,7.2199999999998,60.05000000000018,67.26999999999998,1333.5682848883048,xgboost,44703,44704,NA
full,win400,413,100,7,TRUE,4,6.248999999999796,59.84100000000035,66.09000000000015,1336.3155841517278,xgboost,44704,44705,NA
full,win400,413,100,7,TRUE,5,10.085000000000036,60.30399999999963,70.38899999999967,1334.7893295584865,xgboost,44705,44706,NA
full,win400,413,100,7,TRUE,6,9.86999999999989,60.13100000000031,70.0010000000002,1333.3225950363483,xgboost,44706,44707,NA
full,win400,413,100,7,TRUE,7,4.210000000000036,60.297000000000025,64.50700000000006,1342.5318779069962,xgboost,44707,44708,NA
full,win400,413,100,7,TRUE,8,10.596000000000004,60.28700000000026,70.88300000000027,1333.3227406230496,xgboost,44708,44709,NA
full,win400,413,100,7,TRUE,9,6.493999999999687,60.59100000000035,67.08500000000004,1329.4429791228645,xgboost,44709,44710,NA
full,win400,413,100,7,TRUE,10,7.556999999999789,59.863000000000284,67.42000000000007,1333.6222756765692,xgboost,44710,44711,NA
