mode,n_sim,cores,parallel,rep,elapsed_sec,p_combined,seed,error
full,1000,2,TRUE,8,19.807999999999993,0.2187812187812188,1032208,NA
full,1000,2,TRUE,9,20.123000000000047,0.21178821178821183,1032209,NA
full,1000,2,TRUE,10,18.514999999999986,0.28371628371628377,1032210,NA
full,2500,1,FALSE,1,53.42700000000002,0.21711315473810477,2532101,NA
full,2500,1,FALSE,2,53.139999999999986,0.24070371851259498,2532102,NA
full,2500,1,FALSE,3,52.863000000000056,0.19752099160335868,2532103,NA
full,2500,1,FALSE,4,52.75400000000002,0.15833666533386648,2532104,NA
full,2500,1,FALSE,5,52.605999999999995,0.32626949220311874,2532105,NA
full,2500,1,FALSE,6,52.74099999999987,0.3414634146341463,2532106,NA
full,2500,1,FALSE,7,52.506999999999834,0.1431427429028389,2532107,NA
full,2500,1,FALSE,8,52.36199999999985,0.1707317073170732,2532108,NA
full,2500,1,FALSE,9,52.271999999999935,0.30667732906837264,2532109,NA
full,2500,1,FALSE,10,52.68500000000017,0.16353458616553374,2532110,NA
full,2500,2,TRUE,1,49.434999999999945,0.24750099960015992,2532201,NA
full,2500,2,TRUE,2,49.044999999999845,0.24270291883246697,2532202,NA
full,2500,2,TRUE,3,49.644000000000005,0.28908436625349865,2532203,NA
full,2500,2,TRUE,4,49.41000000000008,0.18752499000399836,2532204,NA
full,2500,2,TRUE,5,49.108999999999924,0.22191123550579772,2532205,NA
full,2500,2,TRUE,6,48.74199999999996,0.19272291083566573,2532206,NA
full,2500,2,TRUE,7,49.99299999999994,0.2530987604958017,2532207,NA
full,2500,2,TRUE,8,48.792000000000144,0.1431427429028389,2532208,NA
full,2500,2,TRUE,9,49.31600000000003,0.23790483806477414,2532209,NA
full,2500,2,TRUE,10,48.58400000000006,0.1507397041183527,2532210,NA
