n,loss,threads,rep,cens_achieved,train_s,eval_s
1000,cox_l2,1,2,0.3,2.3960000000006403,1.467000000004191
1000,cox_l2,1,3,0.3,2.664999999993597,1.9580000000059954
1000,cox_l2,12,1,0.3,2.8170000000027358,1.8960000000006403
1000,cox_l2,12,2,0.3,3.848999999994703,1.533000000003085
1000,cox_l2,12,3,0.3,2.760999999998603,1.5
1000,aft,1,1,0.3,2.411000000000058,1.8629999999975553
1000,aft,1,2,0.3,2.9429999999993015,1.9619999999995343
1000,aft,1,3,0.3,2.7119999999995343,1.7479999999995925
1000,aft,12,1,0.3,2.213999999999942,1.3550000000032014
1000,aft,12,2,0.3,2.2439999999987776,1.3740000000034343
1000,aft,12,3,0.3,2.3029999999998836,1.4599999999991269
1000,coxtime,1,1,0.3,4.0460000000020955,4.152000000001863
1000,coxtime,1,2,0.3,4.19100000000617,4.091999999996915
1000,coxtime,1,3,0.3,4.084999999999127,4.14100000000326
1000,coxtime,12,1,0.3,3.8140000000057626,3.5010000000038417
1000,coxtime,12,2,0.3,3.877999999996973,4.131999999997788
1000,coxtime,12,3,0.3,4.478000000002794,3.4799999999959255
10000,cox,1,1,0.3,6.02100000000064,154.52599999999802
10000,cox,1,2,0.3,6.048999999999069,154
10000,cox,1,3,0.3,5.7370000000009895,155.6840000000011
10000,cox,12,1,0.3,5.974000000001979,156.69899999999325
10000,cox,12,2,0.3,5.973000000005413,155.03699999999662
10000,cox,12,3,0.3,5.195999999996275,156.05200000000332
10000,cox_l2,1,1,0.3,5.457999999998719,155.21600000000035
10000,cox_l2,1,2,0.3,5.77100000000064,154.50499999999738
10000,cox_l2,1,3,0.3,5.2479999999995925,154.67599999999948
10000,cox_l2,12,1,0.3,4.852000000006228,152.88299999999435
10000,cox_l2,12,2,0.3,4.8990000000048894,154.97999999999593
10000,cox_l2,12,3,0.3,5.023000000001048,153.32099999999627
10000,aft,1,1,0.3,5.161000000000058,153.96399999999994
10000,aft,1,2,0.3,4.277000000001863,157.10499999999593
10000,aft,1,3,0.3,4.57999999999447,155.22400000000198
10000,aft,12,1,0.3,4.4209999999948195,154.75700000000506
10000,aft,12,2,0.3,4.375,153.20900000000256
10000,aft,12,3,0.3,4.709000000002561,163.70899999999529
10000,coxtime,1,1,0.3,661.4809999999998,205.20799999999872
10000,coxtime,1,2,0.3,577.7569999999978,194.70500000000175
10000,coxtime,1,3,0.3,576.8910000000033,191.31899999999587
10000,coxtime,12,1,0.3,386.29699999999866,193.34300000000076
10000,coxtime,12,2,0.3,385.3249999999971,194.4820000000036
10000,coxtime,12,3,0.3,387.11599999999453,202.73300000000017
