estimator n beta m p.cov n.cov p.length n.length
shorth 280 1/2 17 0.8507 0.9635 0.708959 0.729
shorth 280 1/3 7 0.8679 0.962 0.70473 0.724689
shorth 280 3/4 68 0.7603 0.9444 0.650589 0.671703
shorth 344 1/2 19 0.8512 0.9648 0.663646 0.680898
shorth 344 1/3 7 0.8706 0.9606 0.659283 0.677204
shorth 344 3/4 80 0.7601 0.9446 0.606026 0.624012
shorth 423 1/2 21 0.8639 0.9674 0.621197 0.637402
shorth 423 1/3 8 0.8975 0.9736 0.646705 0.663372
shorth 423 3/4 93 0.7633 0.9485 0.563572 0.580155
shorth 520 1/2 23 0.8689 0.9649 0.581836 0.596268
shorth 520 1/3 8 0.9016 0.9718 0.605027 0.620164
shorth 520 3/4 109 0.773 0.9464 0.527565 0.542561
shorth 638 1/2 25 0.8791 0.9704 0.544205 0.557339
shorth 638 1/3 9 0.8988 0.9691 0.543495 0.557805
shorth 638 3/4 127 0.7767 0.9528 0.493012 0.507201
shorth 784 1/2 28 0.8938 0.973 0.520442 0.533065
shorth 784 1/3 9 0.9068 0.9674 0.507472 0.520761
shorth 784 3/4 148 0.7918 0.9538 0.463282 0.475694
shorth 963 1/2 31 0.8919 0.9684 0.475368 0.48588
shorth 963 1/3 10 0.9233 0.9745 0.49499 0.507757
shorth 963 3/4 173 0.7848 0.9516 0.430196 0.440724
shorth 1184 1/2 34 0.8926 0.9709 0.452815 0.462812
shorth 1184 1/3 11 0.908 0.9683 0.445754 0.456945
shorth 1184 3/4 202 0.786 0.9505 0.403478 0.413635
shorth 1454 1/2 38 0.9023 0.9726 0.42189 0.431036
shorth 1454 1/3 11 0.9171 0.9707 0.416235 0.426593
shorth 1454 3/4 235 0.7911 0.9523 0.375841 0.38468
shorth 1786 1/2 42 0.9087 0.9728 0.39358 0.401845
shorth 1786 1/3 12 0.9361 0.977 0.404139 0.414603
shorth 1786 3/4 275 0.8047 0.9545 0.350769 0.359178
