"estimator" "n" "m.method" "m.mean" "tau.method" "tau.mean" "p.cov" "p.length" "sd.tau" "sd.m"
"shorth" 520 "goetze" 32.227636 "real" 0.333333 0.875399 0.591291 0 26.890388
"shorth" 638 "goetze" 36.294728 "real" 0.333333 0.874401 0.551365 0 32.179867
"shorth" 784 "goetze" 40.438898 "real" 0.333333 0.884485 0.515657 0 37.764977
"shorth" 963 "goetze" 46.866214 "real" 0.333333 0.889577 0.479747 0 52.28967
"shorth" 1184 "goetze" 52.910144 "real" 0.333333 0.887879 0.447399 0 56.64316
"shorth" 1454 "goetze" 61.050319 "real" 0.333333 0.891174 0.417236 0 72.197024
"shorth" 1786 "goetze" 69.873802 "real" 0.333333 0.895168 0.388917 0 70.119878
"shorth" 2195 "goetze" 82.114708 "real" 0.333333 0.90028 0.362164 0 94.825242
"shorth" 2696 "goetze" 92.794564 "real" 0.333333 0.899281 0.337603 0 85.063848
"shorth" 3313 "goetze" 107.126699 "real" 0.333333 0.908673 0.314291 0 124.088268
"shorth" 4070 "goetze" 129.40008 "real" 0.333333 0.904776 0.29264 0 137.866144
"shorth" 5000 "goetze" 152.838929 "real" 0.333333 0.908074 0.272049 0 184.336904
"shorth" 100 "politis" 33.721146 "real" 0.333333 0.693091 0.880988 0 12.254765
"shorth" 123 "politis" 40.566593 "real" 0.333333 0.708666 0.828431 0 14.944413
"shorth" 151 "politis" 49.735623 "real" 0.333333 0.711362 0.769021 0 18.044912
"shorth" 186 "politis" 60.377696 "real" 0.333333 0.710463 0.719708 0 24.009512
"shorth" 228 "politis" 74.309405 "real" 0.333333 0.722244 0.66795 0 29.583217
"shorth" 280 "politis" 92.421725 "real" 0.333333 0.713658 0.620881 0 35.049479
"shorth" 344 "politis" 113.711262 "real" 0.333333 0.711462 0.574647 0 42.694225
"shorth" 423 "politis" 139.149261 "real" 0.333333 0.709265 0.53607 0 53.746076
"shorth" 520 "politis" 172.222444 "real" 0.333333 0.707867 0.496287 0 70.290561
"shorth" 638 "politis" 212.895168 "real" 0.333333 0.708466 0.460545 0 80.475192
"shorth" 784 "politis" 258.46256 "real" 0.333333 0.717851 0.428888 0 103.539782
"shorth" 963 "politis" 317.746905 "real" 0.333333 0.718151 0.398251 0 127.446344
"shorth" 1184 "politis" 392.473143 "real" 0.333333 0.711861 0.369613 0 151.310119
"shorth" 1454 "politis" 483.719349 "real" 0.333333 0.703974 0.342144 0 183.388737
"shorth" 1786 "politis" 593.123003 "real" 0.333333 0.702576 0.317455 0 225.79122
"shorth" 2195 "politis" 727.706635 "real" 0.333333 0.705036 0.295417 0 280.910767
"shorth" 2696 "politis" 902.234013 "real" 0.333333 0.705236 0.27456 0 345.341145
"shorth" 3313 "politis" 1100.797562 "real" 0.333333 0.71283 0.254878 0 420.881126
"shorth" 4070 "politis" 1354.866007 "real" 0.333333 0.702538 0.236278 0 513.150329
"shorth" 5000 "politis" 1669.282474 "real" 0.333333 0.702438 0.220038 0 622.481727
"xicor" 100 "bickel" 31.296426 "real" 0.5 0.825379 0.205958 0 13.264436
"xicor" 123 "bickel" 36.877895 "real" 0.5 0.839856 0.187956 0 13.774455
"xicor" 151 "bickel" 40.870907 "real" 0.5 0.838159 0.172452 0 17.214197
"xicor" 186 "bickel" 49.488019 "real" 0.5 0.847444 0.156079 0 20.586363
"xicor" 228 "bickel" 53.52496 "real" 0.5 0.855731 0.143094 0 26.10967
"xicor" 280 "bickel" 60.715755 "real" 0.5 0.865315 0.130406 0 30.93497
"xicor" 344 "bickel" 68.103734 "real" 0.5 0.867312 0.118605 0 33.706806
"xicor" 423 "bickel" 78.827676 "real" 0.5 0.874002 0.107517 0 43.859707
"xicor" 520 "bickel" 88.941593 "real" 0.5 0.876198 0.097712 0 53.298872
"xicor" 638 "bickel" 96.966853 "real" 0.5 0.883886 0.08888 0 62.505936
"xicor" 784 "bickel" 111.484425 "real" 0.5 0.888678 0.080629 0 74.29165
"xicor" 963 "bickel" 122.469649 "real" 0.5 0.892173 0.073201 0 82.699372
"xicor" 1184 "bickel" 139.484625 "real" 0.5 0.890475 0.06634 0 108.466949
"xicor" 1454 "bickel" 159.741813 "real" 0.5 0.897863 0.059996 0 130.977324
"xicor" 1786 "bickel" 183.75649 "real" 0.5 0.898462 0.054329 0 154.391988
"xicor" 2195 "bickel" 205.465954 "real" 0.5 0.901458 0.049209 0 194.8222
"xicor" 2696 "bickel" 227.449181 "real" 0.5 0.904653 0.044531 0 215.264158
"xicor" 3313 "bickel" 263.457568 "real" 0.5 0.911442 0.040273 0 258.490568
"xicor" 4070 "bickel" 305.777256 "real" 0.5 0.91224 0.03642 0 307.267522
"xicor" 5000 "bickel" 345.688798 "real" 0.5 0.913938 0.032915 0 357.283206
"xicor" 100 "goetze" 47.930911 "real" 0.5 0.807208 0.19016 0 10.553844
"xicor" 123 "goetze" 55.374601 "real" 0.5 0.807508 0.174747 0 13.219151
"xicor" 151 "goetze" 61.856629 "real" 0.5 0.81869 0.161844 0 17.974541
"xicor" 186 "goetze" 70.48762 "real" 0.5 0.822883 0.148408 0 21.795132
"xicor" 228 "goetze" 81.591454 "real" 0.5 0.836562 0.135878 0 26.851854
"xicor" 280 "goetze" 97.107029 "real" 0.5 0.836661 0.123403 0 31.546195
"xicor" 344 "goetze" 107.183307 "real" 0.5 0.84395 0.113413 0 38.789271
"xicor" 423 "goetze" 122.776358 "real" 0.5 0.852736 0.103427 0 45.028355
"xicor" 520 "goetze" 144.962859 "real" 0.5 0.857728 0.093822 0 58.420391
"xicor" 638 "goetze" 162.524361 "real" 0.5 0.86262 0.085668 0 69.168463
"xicor" 784 "goetze" 186.894569 "real" 0.5 0.868011 0.077834 0 83.448063
"xicor" 963 "goetze" 215.685304 "real" 0.5 0.876198 0.070783 0 101.934602
"xicor" 1184 "goetze" 249.748403 "real" 0.5 0.874501 0.06418 0 130.460826
"xicor" 1454 "goetze" 289.320687 "real" 0.5 0.884285 0.058223 0 139.507835
"xicor" 1786 "goetze" 331.676917 "real" 0.5 0.882488 0.05284 0 186.550882
"xicor" 2195 "goetze" 388.644684 "real" 0.5 0.886791 0.047861 0 220.22901
"xicor" 2696 "goetze" 446.017186 "real" 0.5 0.888889 0.043391 0 271.6309
"xicor" 3313 "goetze" 527.667600 "real" 0.5 0.887100 0.039238 0 305.394051
"xicor" 4070 "goetze" 611.650800 "real" 0.5 0.895400 0.035522 0 395.092401
"xicor" 5000 "goetze" 728.671200 "real" 0.5 0.902800 0.032095 0 489.041492
"xicor" 100 "politis" 37.930411 "real" 0.5 0.830172 0.201554 0 7.583455
"xicor" 123 "politis" 45.388678 "real" 0.5 0.835064 0.182963 0 10.706469
"xicor" 151 "politis" 53.821486 "real" 0.5 0.840954 0.166629 0 13.144533
"xicor" 186 "politis" 65.573882 "real" 0.5 0.836761 0.150728 0 16.399263
"xicor" 228 "politis" 78.507887 "real" 0.5 0.838059 0.136795 0 21.503497
"xicor" 280 "politis" 94.388878 "real" 0.5 0.851338 0.124179 0 26.495444
"xicor" 344 "politis" 113.699081 "real" 0.5 0.842153 0.112345 0 32.740632
"xicor" 423 "politis" 136.800619 "real" 0.5 0.84984 0.101881 0 42.492241
"xicor" 520 "politis" 164.80621 "real" 0.5 0.860024 0.092107 0 52.33595
"xicor" 638 "politis" 200.077975 "real" 0.5 0.858027 0.083375 0 67.90352
"xicor" 784 "politis" 241.484425 "real" 0.5 0.853135 0.075401 0 80.951605
"xicor" 963 "politis" 293.193391 "real" 0.5 0.853834 0.068161 0 102.959481
"xicor" 1184 "politis" 356.476538 "real" 0.5 0.855531 0.061568 0 129.93804
"xicor" 1454 "politis" 432.350339 "real" 0.5 0.866114 0.055716 0 160.733101
"xicor" 1786 "politis" 524.297823 "real" 0.5 0.857029 0.050311 0 187.361025
"xicor" 2195 "politis" 635.335500 real 0.5 0.864300 0.045475 0 249.325819
"xicor" 2696 "politis" 775.239100 real 0.5 0.864600 0.041129 0 294.853143
"xicor" 3313 "politis" 945.206700 real 0.5 0.863200 0.037108 0 357.216749
"xicor" 4070 "politis" 1150.148700 real 0.5 0.863300 0.033518 0 452.799258
"xicor" 5000 "politis" 1405.454500 real 0.5 0.855600 0.030260 0 549.824688
