"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"14","time","torus","3","350","1","stats","0.118073149002157","0.116800606017932","0.137291455059312","0.150193331064656","0.117313422961161","0.116882236907259","0.118305940995924","0.118239399977028","0.117180876899511","0.117251781979576"
"15","time","torus","3","375","1","stats","0.117676267982461","0.117871512891725","0.117877810029313","0.139407278969884","0.117220899905078","0.120019771973602","0.119336632080376","0.118010426987894","0.11811043007765","0.118535350076854"
"16","time","torus","3","400","1","stats","0.199314905912615","0.200110687990673","0.165916514932178","0.173844462959096","0.173905713949353","0.164117285981774","0.165095219970681","0.154947905917652","0.16424581897445","0.173714985954575"
"17","time","torus","3","425","1","stats","0.173505618004128","0.162882706033997","0.164134168066084","0.162469304981641","0.162266316008754","0.162389139994048","0.163833350059576","0.163867535069585","0.162810510955751","0.162708251038566"
"18","time","torus","3","450","1","stats","0.182992221903987","0.182299448992126","0.184106746921316","0.183329857885838","0.1820769199403","0.181508679874241","0.182247183984146","0.186489950981922","0.182321117841639","0.184300167951733"
"19","time","torus","3","475","1","stats","0.235012639081106","0.234055008972064","0.23302600311581","0.233134712092578","0.233526462106965","0.233921787003055","0.233036846970208","0.23601742007304","0.23587762308307","0.234341879142448"
"20","time","torus","3","500","1","stats","0.324040360981598","0.325763252098113","0.323453143006191","0.328058889019303","0.31552808592096","0.323852376081049","0.38948492903728","0.273200933006592","0.29433428903576","0.27299559302628"
"21","time","torus","3","20","2","stats","0.00119271816220134","0.00118672603275627","0.00117858208250254","0.00117981107905507","0.00117591302841902","0.001172109041363","0.00117705308366567","0.00117439404129982","0.00117295200470835","0.00117366400081664"
"22","time","torus","3","40","2","stats","0.00972263293806463","0.00971372588537633","0.00969870004337281","0.00964269402902573","0.00961527694016695","0.00960452598519623","0.0095943829510361","0.0096208059694618","0.00960225204471499","0.00961772596929222"
"23","time","torus","3","60","2","stats","0.0351451740134507","0.0346404829761013","0.0347335869446397","0.034798257984221","0.0346398679539561","0.0347607489675283","0.0347431970294565","0.034813868929632","0.0347809880040586","0.0346833149669692"
"24","time","torus","3","80","2","stats","0.0908312370302156","0.0880486989626661","0.0883785000769421","0.0892672700574622","0.0895138350315392","0.0889442500192672","0.0900238120229915","0.0886585819534957","0.0884323639329523","0.0891657429747283"
"25","time","torus","3","100","2","stats","0.171290587051772","0.170675039989874","0.171762080164626","0.170984699041583","0.170965336961672","0.17160538805183","0.174105941085145","0.16892083210405","0.170120082097128","0.17173883097712"
"26","time","torus","3","120","2","stats","0.330344967078418","0.331866660970263","0.328643102082424","0.333157697925344","0.332457710057497","0.33086078602355","0.329931810963899","0.328207110986114","0.327336938004009","0.334166996995918"
"27","time","torus","3","140","2","stats","0.600336984032765","0.628430871060118","0.575058709015138","0.574284846079536","0.619953306973912","0.61716951103881","0.643279958982021","0.555889855953865","0.593161986093037","0.68170991295483"
"28","time","torus","3","160","2","stats","1.07846228312701","0.998097585048527","1.06352702504955","1.02447064511944","0.911028234986588","0.854203169001266","0.846987368073314","0.859483075095341","0.856852886965498","0.921338049112819"
"29","time","torus","3","180","2","stats","1.19829646206927","1.20362661697436","1.19550561998039","1.19152889400721","1.19329767802265","1.19572090392467","1.19701737992","1.19231714098714","1.19673593493644","1.1884444860043"
"30","time","torus","3","200","2","stats","1.90884591208305","1.83599668100942","1.69390115898568","1.53867121494841","1.54475868900772","2.52001555601601","1.5445136820199","2.50422160502058","1.54491628997494","2.32335325796157"
"31","time","torus","3","220","2","stats","2.67427023197524","3.62016678391956","3.87821055203676","2.94891621195711","2.99020388699137","2.22763175901491","2.85168911900837","3.36896720901132","3.67933703400195","2.48355602403171"
"32","time","torus","3","240","2","stats","5.19473831809592","3.35704097093549","4.98261108598672","4.38964386901353","4.60339166398626","4.50923077296466","5.11213840101846","3.71165615704376","4.56429352797568","3.74356688407715"
"33","time","torus","3","260","2","stats","4.63463455194142","4.59457563899923","4.58066519303247","5.14255267707631","5.41060911002569","5.42382064298727","6.25519216503017","4.25607608095743","4.80926773895044","4.52874579501804"
"34","time","torus","3","280","2","stats","6.00281335308682","5.03977120807394","5.01457840099465","5.00785341416486","4.99356136005372","5.01110368804075","4.97354840510525","5.01174593809992","4.98987186513841","4.98636954708491"
"35","time","torus","3","300","2","stats","6.9824518780224","8.62249829201028","7.11591330205556","7.00833705905825","8.05907597707119","6.86707145301625","7.6142337609781","6.68858878908213","6.14689165016171","7.26174033107236"
"36","time","torus","3","320","2","stats","9.84500824601855","7.31014557590242","8.78152937092818","7.90291575307492","9.00415722595062","9.04168834001757","7.9960162260104","8.08659659605473","8.02584905701224","8.64872327307239"
"37","time","torus","3","340","2","stats","8.8069332340965","9.10256032901816","9.19350157410372","9.77697194099892","9.01002628006972","9.04606423201039","8.10752040008083","9.66098763805348","8.84838922310155","8.79012536397204"
"38","time","torus","3","360","2","stats","13.0381277990527","11.8725003879517","13.069293793058","12.7409532460151","13.3122628150741","13.1262686050031","13.1131195910275","12.0272016089875","12.5926720780553","13.0515439970186"
"39","time","torus","3","380","2","stats","15.0407482730225","14.1485766659025","14.6941259369487","15.1840421749512","14.2345308330841","14.2330243249889","15.1402961029671","14.3467258359306","14.5583625959698","14.8946728139417"
"40","time","torus","3","400","2","stats","20.1215504540596","15.8883418211481","16.2440415940946","16.8674938200274","16.5572635290446","16.9702763950918","16.3756577480817","16.8961327250581","15.7518632630818","16.3817706659902"
"41","time","torus","3","420","2","stats","20.4402377700899","19.6788952890784","19.3052343029995","20.7401986591285","23.0161624620669","23.6380663960008","21.5223724909592","19.8211720380932","19.7626900200266","20.634470900055"
"42","time","torus","3","440","2","stats","22.8486140370369","26.2404898630921","25.1163296410814","26.964505976066","30.081830986077","25.7586891070241","27.7759959030664","23.837811086094","21.7543060920434","22.3100474480307"
"43","time","torus","3","460","2","stats","27.5397160399007","23.5322813469684","23.2195070351008","23.424590184004","24.2975577060133","23.1075700400397","26.9467685400741","24.5263610450784","26.299104519072","22.7022450389341"
"44","time","torus","3","480","2","stats","30.2523927600123","31.2737936010817","30.3599312349688","30.4862492640968","29.5600184589857","29.5544321730267","29.8652023680042","30.6762251660693","30.7766006049933","30.1485432119807"
"45","time","torus","3","500","2","stats","34.8348141459282","34.4096962739713","34.4499643349554","34.5899240908911","34.9340177549748","34.876082744915","36.1005186039256","34.9493704568595","35.9522345298901","35.3906165239168"
